,filename,label,class,width,height,xmin,ymin,xmax,ymax
1,24303.png,1,B48,33,66,0,0,33,66
2,48328.png,1,B48,49,95,0,0,49,95
3,13981.png,1,B48,42,75,0,0,42,75
4,19874.png,1,B48,37,91,0,0,37,91
5,14492.png,1,B48,41,72,0,0,41,72
6,12376.png,1,B48,42,77,0,0,42,77
7,24985.png,1,B48,33,62,0,0,33,62
8,11831.png,1,B48,39,75,0,0,39,75
9,49643.png,1,B48,43,83,0,0,43,83
10,45777.png,1,B48,38,67,0,0,38,67
11,45711.png,1,B48,41,72,0,0,41,72
13,7894.png,1,B48,51,96,0,0,51,96
15,15697.png,1,B48,43,74,0,0,43,74
16,12177.png,1,B48,41,81,0,0,41,81
18,21520.png,1,B48,45,86,0,0,45,86
19,8417.png,1,B48,42,67,0,0,42,67
20,60898.png,1,B48,41,97,0,0,41,97
21,7672.png,1,B48,58,98,0,0,58,98
22,39900.png,1,B48,38,67,0,0,38,67
23,26421.png,1,B48,31,60,0,0,31,60
24,53493.png,1,B48,45,74,0,0,45,74
25,15617.png,1,B48,42,73,0,0,42,73
27,51035.png,1,B48,52,90,0,0,52,90
28,476.png,1,B48,62,156,0,0,62,156
31,47489.png,1,B48,52,96,0,0,52,96
34,52680.png,1,B48,37,79,0,0,37,79
35,48178.png,1,B48,53,95,0,0,53,95
36,16601.png,1,B48,77,149,0,0,77,149
37,40621.png,1,B48,33,63,0,0,33,63
38,44175.png,1,B48,40,72,0,0,40,72
39,53511.png,1,B48,48,82,0,0,48,82
40,49774.png,1,B48,57,87,0,0,57,87
41,25346.png,1,B48,35,62,0,0,35,62
42,20206.png,1,B48,39,80,0,0,39,80
43,15515.png,1,B48,35,65,0,0,35,65
46,32576.png,1,B48,53,97,0,0,53,97
47,43996.png,1,B48,41,71,0,0,41,71
48,51102.png,1,B48,49,99,0,0,49,99
49,26319.png,1,B48,32,60,0,0,32,60
50,21869.png,1,B48,43,81,0,0,43,81
53,15497.png,1,B48,37,68,0,0,37,68
54,22472.png,1,B48,48,77,0,0,48,77
55,40519.png,1,B48,34,65,0,0,34,65
56,26134.png,1,B48,31,58,0,0,31,58
57,1004.png,1,B48,69,174,0,0,69,174
